CATEGORY	BIBTEXKEY	author	title	year	publisher	address	pages	booktitle	editor	journal	note	number	school	url	volume
book	authier2009	Authier, Gilles	Grammaire kryz	2009	Peeters	Paris	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	bokarev1949	Бокарёв, Анатолий А.	Синтаксис аварского языка [Syntax of Avar]	1949	Издательство Академии наук СССР	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	creissels2009	Creissels, Denis	Spatial cases	2009	Oxford University Press	Oxford/New York	609--625	The Oxford Handbook of Case	Malchukov, Andrej and Spencer, Andrew	NA	NA	NA	NA	NA	NA
incollection	danielganenkov2009	Daniel, Michael and Ganenkov, Dmitry	Case marking in {D}aghestanian: limits of elaboration	2009	Oxford University Press	Oxford/New York	668--685	The Oxford Handbook of Case	Malchukov, Andrej and Spencer, Andrew	NA	NA	NA	NA	NA	NA
book	desheriev1953	Дешериев, Юнус Д.	Бацбийский язык [Bats]	1953	Академия	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	dum-tragut2009	Dum-Tragut, Jasmine	Armenian	2009	John Benjamins	Amsterdam/Philadelphia	NA	NA	NA	NA	NA	NA	NA	NA	NA
article	forker2019	Forker, Diana	The impact of language contact on {H}inuq: {P}honology, morphology, syntax, and lexicon	2019	NA	NA	29--62	NA	NA	Language Typology and Universals	NA	NA	NA	NA	NA
book	gadzhimagomedov2019	Gadzhimagomedov, Magomed	Ančixskij jazyk [Anchix]	2019	NA	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	kibrik1977	Кибрик, Александр Е.	Опыт структурного описания арчинского языка. Том II. Таксономическая грамматика [Structural description of Archi. Volume II. Taxonomic grammar]	1977	Издательство Академии наук СССР	Москва	NA	NA	NA	NA	NA	NA	NA	NA	NA
electronic	kibriketal2007	Kibrik, Aleksandr and Daniel, Michael and Arxipov, Alexandre	Electronic corpus of Archi	2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedbekova1967	Магомедбекова, Загидат М.	Ахвахский язык [Akhvakh]	1967	Мецниереба	Тбилиси	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedova2004	Магомедова, Патимат Т.	Багвалинско-русский словарь [Bagvalal-Russian dictionary]	2004	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	magomedova2012	Магомедова, Патимат Т.	Тиндинский язык [The Tindi language]	2012	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA
book	mikailov1967	Микайлов, Казбек Ш.	Арчинский язык [Archi]	1967	ИЯЛИ	Махачкала	NA	NA	NA	NA	NA	NA	NA	NA	NA
incollection	nichols1994	Nichols, Johanna	Chechen	1994	Caravan Press	Delmar, NY	1--77	The Indigenous Languages of the Caucasus, vol. 4: The Northeast Caucasian Languages, Part 2	Smeets, Rieks	NA	NA	NA	NA	NA	NA
incollection	sosenskaja2001	Сосенская, Татьяна Б.	Сравнительные конструкции [Comparative constructions]	2001	Наследие	Москва	408--424	Багвалинский язык. Грамматика, тексты, словари [The Bagvalal language. Grammar, texts, dictionaries]	Кибрик, Александр Е. and Лютикова, Екатерина А. and Татевосов, Сергей Г.	NA	NA	NA	NA	NA	NA
incollection	stassen2013	Stassen, Leon	Comparative {C}onstructions	2013	Max Planck Institute for Evolutionary Anthropology	Leipzig	NA	The World Atlas of Language Structures Online	NA	NA	NA	NA	NA	http://wals.info/chapter/121	NA
book	shiralievsevortyan1971	Ширалиев, Мамедага Ш. and Севортян, Эрванд В.	Грамматика азербайджанского языка (фонетика, морфология, синтаксис) [Azerbaijani grammar (phonetics, morphology, syntax)]	1971	Элм	Баку	NA	NA	NA	NA	NA	NA	NA	NA	NA
